City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,kailua-kona,19.6406,-155.9956,29.04,73,40,4.63,US,1697314791
349,bayanhongor,46.7167,100.1167,1.6,48,65,1.1,MN,1697315051
350,siwa oasis,29.2041,25.5195,24.06,37,0,2.99,EG,1697315051
351,malvan,16.0667,73.4667,26.73,82,48,1.51,IN,1697315056
352,yamada,39.4667,141.95,14.6,67,97,1.92,JP,1697315058
353,karungdong,5.8844,121.263,27.13,81,95,2.17,PH,1697315058
354,uchiza,-8.4592,-76.4633,23.09,96,100,0.81,PE,1697315058
355,oguzeli,36.9657,37.5134,16.99,55,40,0.0,TR,1697315058
356,tralee,52.2704,-9.7026,9.36,65,95,3.99,IE,1697315058
357,touros,-5.1989,-35.4608,26.36,73,66,8.04,BR,1697315043
358,bridgetown,13.1,-59.6167,30.27,70,20,4.12,BB,1697315064
359,rudbar,30.15,62.6,22.11,26,24,2.38,AF,1697315065
360,shasta lake,40.6804,-122.3708,21.97,44,100,0.45,US,1697315065
